,date,email_opened,response,treatment_group_key,UUID_hash2
188,2017-11-25,0.0,0,t5,-7091512117555346073
189,2017-11-25,1.0,1,t7,8497390190618669086
190,2017-11-25,0.0,0,t8,-4444630536977397846
191,2017-11-24,1.0,1,t1,3106598116873305182
192,2017-11-26,0.0,0,t7,-3425737971652798347
193,2017-11-25,0.0,0,t4,8107613038654417415
194,2017-11-26,0.0,0,t1,-6436903453151551745
195,2017-11-25,1.0,1,t8,418346037806971990
196,2017-11-22,0.0,0,t9,7840090058180164223
197,2017-11-23,0.0,0,t9,-9036110159967075284
198,2017-11-26,1.0,1,t5,-4497690514837111715
199,2017-11-23,0.0,0,t8,4635957508864784695
200,2017-11-26,0.0,0,t8,-5158785572528996251
201,2017-11-26,0.0,0,t9,286940436143621262
202,2017-11-26,0.0,0,t2,2738508222001286157
203,2017-11-26,0.0,0,t3,-5883260426134505202
204,2017-11-25,0.0,0,t8,8863479981142691181
205,2017-11-26,0.0,0,t3,-2659091627195291805
206,2017-11-24,0.0,0,t5,-736377872469414603
207,2017-11-26,0.0,0,t4,-7200406528474019419
208,2017-11-25,0.0,0,t2,-725929896389523239
209,2017-11-25,0.0,0,t6,-7010615316800671347
210,2017-11-26,0.0,0,t7,3170261115047415022
211,2017-11-26,1.0,1,t3,-6090220154640862184
212,2017-11-25,1.0,1,t6,-447208609442086205
213,2017-11-26,1.0,1,t6,2780694763102813007
214,2017-11-24,0.0,0,t7,-2995183112255241336
215,2017-11-24,0.0,0,t1,7469018865193171473
216,2017-11-24,0.0,0,t1,4905122095643182382
217,2017-11-23,1.0,1,t8,-8208430962944814993
218,2017-11-24,0.0,0,t7,373167417576468754
219,2017-11-23,1.0,1,t5,-6404859023736450716
220,2017-11-24,1.0,1,t6,2664489937871647804
221,2017-11-26,0.0,0,t5,5525205855932984629
222,2017-11-23,0.0,0,t4,-5847275447688263977
223,2017-11-26,1.0,1,t4,3522138787492216824
224,2017-11-25,0.0,0,t9,8708769461029148572
225,2017-11-23,0.0,0,t10,2652577026432364592
226,2017-11-26,0.0,0,t1,5846352317294585943
227,2017-11-24,1.0,1,t1,-9044201363561671745
228,2017-11-25,0.0,0,t1,8869256883158894723
229,2017-11-23,0.0,0,t9,4704382586643561340
230,2017-11-26,0.0,0,t3,-4681769858019400864
231,2017-11-22,1.0,1,t3,-7902005184254199536
232,2017-11-25,0.0,0,t9,-7182598775661427468
233,2017-11-25,0.0,0,t7,4012634849925185893
